"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","12","0","5","com","33","false"
"-3","TELLER A/S","517013","standard","MasterCard","mixed","12","0","5","com","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","12","0","5","it","92","false"
"-3","BANCO POPOLARE SOCIETA COOPERATIVA","540047","standard","MasterCard","mixed","12","0","5","it","38","true"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","12","3","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457114","classic","VISA card","mixed","13","0","5","com","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","13","0","5","com","47","false"
"-3","PBS INTERNATIONAL A/S","457184","classic","VISA card","mixed","13","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457153","classic","VISA card","mixed","13","1","5","com","undefined","false"
"-3","TELLER A/S","517013","standard","MasterCard","mixed","13","0","5","com","undefined","false"
"-3","BANCA SELLA S.P.A.","533875","standard","MasterCard","mixed","13","0","5","it","92","false"
"-3","TELLER A/S","517008","standard","MasterCard","mixed","13","0","5","com","undefined","false"
"-3","DANSKE BANK A/S","545996","standard","MasterCard","uppercase","13","0","5","com","undefined","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","13","3","5","com","undefined","false"
"-3","TELLER A/S","549774","standard","MasterCard","mixed","13","4","5","dk","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","13","0","5","it","33","true"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","13","4","5","com","undefined","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","13","0","5","com","undefined","false"
"-3","CASSA DI RISPARMIO DI PARMA E PIACENZA S.P.A.","543305","standard","MasterCard","mixed","13","2","5","com","33","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","13","0","5","dk","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","13","4","5","it","35","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","14","2","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457195","classic","VISA card","mixed","14","0","5","dk","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","07","2","5","com","29","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","14","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457104","classic","VISA card","mixed","14","0","5","com","undefined","false"
"-3","BANCA DI SASSARI S.P.A.","526736","standard","MasterCard","mixed","14","2","5","com","91","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","14","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457176","classic","VISA card","mixed","14","3","5","com","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","14","2","5","com","20","false"
"-3","PBS INTERNATIONAL A/S","457192","classic","VISA card","mixed","14","3","5","com","undefined","false"
"-3","UNICREDIT S.P.A.","526430","standard","MasterCard","mixed","14","0","5","com","33","false"
"-3","PBS INTERNATIONAL A/S","520969","standard","MasterCard","mixed","14","0","5","dk","undefined","false"
"-3","PBS INTERNATIONAL A/S","457131","classic","VISA card","mixed","14","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457131","classic","VISA card","mixed","14","0","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","14","2","5","com","34","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","14","4","5","com","49","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","15","3","5","com","38","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","15","0","5","com","88","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","15","0","5","com","undefined","false"
"-3","DANSKE BANK A/S","547132","standard","MasterCard","mixed","15","0","5","dk","undefined","false"
"-3","TELLER A/S","549774","standard","MasterCard","mixed","15","2","5","com","undefined","false"
"-3","DANSKE BANK A/S","547132","standard","MasterCard","mixed","15","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457136","classic","VISA card","mixed","15","0","5","com","undefined","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","16","0","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","0","5","com","40","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","2","5","com","89","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","0","5","it","42","false"
"-3","undefined","516499","standard","MasterCard","mixed","16","2","5","com","38","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","0","5","com","93","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","lowercase","16","2","5","com","51","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","16","2","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","lowercase","17","1","5","com","88","false"
"-3","undefined","472675","classic","VISA card","mixed","17","4","5","com","51","false"
"-3","FINDOMESTIC BANCA S.P.A.","546982","standard","MasterCard","mixed","17","2","5","com","80","false"
"-3","undefined","472675","classic","VISA card","mixed","17","0","5","com","49","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","17","2","5","com","71","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","17","0","5","com","39","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","17","0","5","com","33","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","18","2","5","com","45","false"
"-3","undefined","554811","standard","MasterCard","lowercase","19","4","5","it","40","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","19","0","5","it","33","false"
"-3","CARTASI S.P.A.","525500","standard","MasterCard","mixed","19","4","5","it","46","false"
